komentar,label,komentar_cleaned_p1,tokenized_text_p2,text_slang_p2,text_slang_str_p2,text_stopword_p2,text_stemmed_p2
kok bisa copot ban blakang kiri saat latihan drift ?,0,kok bisa copot ban blakang kiri saat latihan drift,"['kok', 'bisa', 'copot', 'ban', 'blakang', 'kiri', 'saat', 'latihan', 'drift']","['kok', 'bisa', 'copot', 'ban', 'blakang', 'kiri', 'saat', 'latihan', 'drift']",kok bisa copot ban blakang kiri saat latihan drift,copot ban blakang kiri latihan drift,copot ban blakang kiri latih drift
"alexis'17 , gacor menang !",1,alexis 17 gacor menang,"['alexis', '17', 'gacor', 'menang']","['alexis', '17', 'gacor', 'menang']",alexis 17 gacor menang,alexis 17 gacor menang,alexis 17 gacor menang
ngelag ? ! wd ? jalan ! alexis17 emang top .,1,ngelag wd jalan alexis17 emang top,"['ngelag', 'wd', 'jalan', 'alexis17', 'emang', 'top']","['ngelag', 'wd', 'jalan', 'alexis17', 'emang', 'top']",ngelag wd jalan alexis17 emang top,ngelag wd jalan alexis17 emang top,ngelag wd jalan alexis17 emang top
"1 kata buat lu bang , Ganteng 😎😎😎😎",0,1 kata buat lu bang ganteng,"['1', 'kata', 'buat', 'lu', 'bang', 'ganteng']","['1', 'kata', 'buat', 'kamu', 'bang', 'ganteng']",1 kata buat kamu bang ganteng,1 bang ganteng,1 bang ganteng
Ternyata espro d bandung produksinya,0,ternyata espro d bandung produksinya,"['ternyata', 'espro', 'd', 'bandung', 'produksinya']","['ternyata', 'espro', 'd', 'bandung', 'produksinya']",ternyata espro d bandung produksinya,espro bandung produksinya,espro bandung produksi
Feel-nya dapet! 𝗕𝗘𝗥𝗞𝗔𝗛𝟵𝟵,1,feel nya dapet berkah99,"['feel', 'nya', 'dapet', 'berkah99']","['feel', 'nya', 'dapet', 'berkah99']",feel nya dapet berkah99,feel nya dapet berkah99,feel nya dapet berkah99
udah daftar sih 𝘼𝙇𝙀𝙓𝙄𝙎17 ramah banget csnya .,1,udah daftar sih alexis17 ramah banget csnya,"['udah', 'daftar', 'sih', 'alexis17', 'ramah', 'banget', 'csnya']","['sudah', 'daftar', 'sih', 'alexis17', 'ramah', 'banget', 'csnya']",sudah daftar sih alexis17 ramah banget csnya,daftar sih alexis17 ramah banget csnya,daftar sih alexis17 ramah banget csnya
"temen gue negeri aja tau ｐｕｌａｕｗｉｎ , gokil !",1,temen gue negeri aja tau pulauwin gokil,"['temen', 'gue', 'negeri', 'aja', 'tau', 'pulauwin', 'gokil']","['temen', 'saya', 'negeri', 'aja', 'tahu', 'pulauwin', 'gokil']",temen saya negeri aja tahu pulauwin gokil,temen negeri aja pulauwin gokil,temen negeri aja pulauwin gokil
Yah gws deh ni negara,0,yah gws deh ni negara,"['yah', 'gws', 'deh', 'ni', 'negara']","['yah', 'gws', 'deh', 'ni', 'negara']",yah gws deh ni negara,yah gws deh ni negara,yah gws deh ni negara
saake sek desel deselan,0,saake sek desel deselan,"['saake', 'sek', 'desel', 'deselan']","['saake', 'sek', 'desel', 'deselan']",saake sek desel deselan,saake sek desel deselan,saake sek desel deselan
Saatnya bersinar bersama 13:12 𝙈𝘼𝙉𝘿𝘼𝙇𝙄𝙆𝘼77,1,saatnya bersinar bersama 13 12 mandalika77,"['saatnya', 'bersinar', 'bersama', '13', '12', 'mandalika77']","['saatnya', 'bersinar', 'bersama', '13', '12', 'mandalika77']",saatnya bersinar bersama 13 12 mandalika77,bersinar 13 12 mandalika77,sinar 13 12 mandalika77
Pak Wapres Hebat...! Bisa ilangin dislike puluhan ribu dlm sehari😂,0,pak wapres hebat bisa ilangin dislike puluhan ribu dlm sehari,"['pak', 'wapres', 'hebat', 'bisa', 'ilangin', 'dislike', 'puluhan', 'ribu', 'dlm', 'sehari']","['pak', 'wapres', 'hebat', 'bisa', 'ilangin', 'dislike', 'puluhan', 'ribu', 'dlm', 'sehari']",pak wapres hebat bisa ilangin dislike puluhan ribu dlm sehari,wapres hebat ilangin dislike puluhan ribu dlm sehari,wapres hebat ilangin dislike puluh ribu dlm hari
"Bekas lipatannya baru keliatan pas udah di bahas, emang keren nih hp",0,bekas lipatannya baru keliatan pas udah di bahas emang keren nih hp,"['bekas', 'lipatannya', 'baru', 'keliatan', 'pas', 'udah', 'di', 'bahas', 'emang', 'keren', 'nih', 'hp']","['bekas', 'lipatannya', 'baru', 'keliatan', 'pas', 'sudah', 'di', 'bahas', 'emang', 'keren', 'nih', 'hp']",bekas lipatannya baru keliatan pas sudah di bahas emang keren nih hp,bekas lipatannya keliatan pas bahas emang keren nih hp,bekas lipat liat pas bahas emang keren nih hp
WISDOMTOTO ASUU,1,wisdomtoto asuu,"['wisdomtoto', 'asuu']","['wisdomtoto', 'asuu']",wisdomtoto asuu,wisdomtoto asuu,wisdomtoto asuu
lama2 bangkrut juga ni bossnya 𝓂𝒶𝓃𝒹𝒶𝓁𝒾𝓀𝒶𝟩𝟩 soalnya profit trus aku main dari kemaren wkkwkw,1,lama2 bangkrut juga ni bossnya mandalika77 soalnya profit trus aku main dari kemaren wkkwkw,"['lama2', 'bangkrut', 'juga', 'ni', 'bossnya', 'mandalika77', 'soalnya', 'profit', 'trus', 'aku', 'main', 'dari', 'kemaren', 'wkkwkw']","['lama2', 'bangkrut', 'juga', 'ni', 'bossnya', 'mandalika77', 'soalnya', 'profit', 'trus', 'aku', 'main', 'dari', 'kemaren', 'wkkwkw']",lama2 bangkrut juga ni bossnya mandalika77 soalnya profit trus aku main dari kemaren wkkwkw,lama2 bangkrut ni bossnya mandalika77 profit trus main kemaren wkkwkw,lama2 bangkrut ni bossnya mandalika77 profit trus main kemaren wkkwkw
"Setuju, tapi tidak untuk Kingfinix 😎",0,setuju tapi tidak untuk kingfinix,"['setuju', 'tapi', 'tidak', 'untuk', 'kingfinix']","['setuju', 'tapi', 'tidak', 'untuk', 'kingfinix']",setuju tapi tidak untuk kingfinix,setuju kingfinix,tuju kingfinix
"ga jadi nyesel cuma nonton ndek hp, nek teko langsung paling wes semaput aku",0,ga jadi nyesel cuma nonton ndek hp nek teko langsung paling wes semaput aku,"['ga', 'jadi', 'nyesel', 'cuma', 'nonton', 'ndek', 'hp', 'nek', 'teko', 'langsung', 'paling', 'wes', 'semaput', 'aku']","['tidak', 'jadi', 'nyesel', 'cuma', 'nonton', 'ndek', 'hp', 'nek', 'teko', 'langsung', 'paling', 'wes', 'semaput', 'aku']",tidak jadi nyesel cuma nonton ndek hp nek teko langsung paling wes semaput aku,nyesel nonton ndek hp nek teko langsung wes semaput,nyesel nonton ndek hp nek teko langsung wes semaput
06:37 Gak pernah bosen nonton! 𝗕𝗘𝗥𝗞𝗔𝗛𝟵𝟵,1,o6 37 gak pernah bosen nonton berkah99,"['o6', '37', 'gak', 'pernah', 'bosen', 'nonton', 'berkah99']","['o6', '37', 'tidak', 'pernah', 'bosen', 'nonton', 'berkah99']",o6 37 tidak pernah bosen nonton berkah99,o6 37 bosen nonton berkah99,o6 37 bosen nonton berkah99
"Cuma di sini, ⚡ALEXIS17⚡ itu andalan gue sekarang!",1,cuma di sini alexis17 itu andalan gue sekarang,"['cuma', 'di', 'sini', 'alexis17', 'itu', 'andalan', 'gue', 'sekarang']","['cuma', 'di', 'sini', 'alexis17', 'itu', 'andalan', 'saya', 'sekarang']",cuma di sini alexis17 itu andalan saya sekarang,alexis17 andalan,alexis17 andal
Kepikiran juga sama pak ahok pakai pembukaan scholar mate😂,0,kepikiran juga sama pak ahok pakai pembukaan scholar mate,"['kepikiran', 'juga', 'sama', 'pak', 'ahok', 'pakai', 'pembukaan', 'scholar', 'mate']","['kepikiran', 'juga', 'sama', 'pak', 'ahok', 'pakai', 'pembukaan', 'scholar', 'mate']",kepikiran juga sama pak ahok pakai pembukaan scholar mate,kepikiran ahok pakai pembukaan scholar mate,pikir ahok pakai buka scholar mate
sehat salam 𝐒𝐆𝐈𝟖𝟖 gampang jepe,1,sehat salam sgi88 gampang jepe,"['sehat', 'salam', 'sgi88', 'gampang', 'jepe']","['sehat', 'salam', 'sgi88', 'gampang', 'jepe']",sehat salam sgi88 gampang jepe,sehat salam sgi88 gampang jepe,sehat salam sgi88 gampang jepe
tinggal di Pakualaman tp tetep milih nonton di yt daripada ke yt wkwkwkkw,0,tinggal di pakualaman tp tetep milih nonton di yt daripada ke yt wkwkwkkw,"['tinggal', 'di', 'pakualaman', 'tp', 'tetep', 'milih', 'nonton', 'di', 'yt', 'daripada', 'ke', 'yt', 'wkwkwkkw']","['tinggal', 'di', 'pakualaman', 'tapi', 'tetep', 'milih', 'nonton', 'di', 'yt', 'daripada', 'ke', 'yt', 'wkwkwkkw']",tinggal di pakualaman tapi tetep milih nonton di yt daripada ke yt wkwkwkkw,tinggal pakualaman tetep milih nonton yt yt wkwkwkkw,tinggal pakualaman tetep milih nonton yt yt wkwkwkkw
buseh komen nye udh terwakili semua 😅😅😅😅😂😂😂😂,0,buseh komen nye udh terwakili semua,"['buseh', 'komen', 'nye', 'udh', 'terwakili', 'semua']","['buseh', 'komen', 'nye', 'sudah', 'terwakili', 'semua']",buseh komen nye sudah terwakili semua,buseh komen nye terwakili,buseh komen nye wakil
Dikampung saya banyak yg gitu mainya di PULAU777,1,dikampung saya banyak yg gitu mainya di pulau777,"['dikampung', 'saya', 'banyak', 'yg', 'gitu', 'mainya', 'di', 'pulau777']","['dikampung', 'saya', 'banyak', 'yg', 'gitu', 'mainya', 'di', 'pulau777']",dikampung saya banyak yg gitu mainya di pulau777,dikampung yg gitu mainya pulau777,kampung yg gitu mai pulau777
Intinya kalau kerja minta cariin bapak...,0,intinya kalau kerja minta cariin bapak,"['intinya', 'kalau', 'kerja', 'minta', 'cariin', 'bapak']","['intinya', 'kalau', 'kerja', 'minta', 'cariin', 'bapak']",intinya kalau kerja minta cariin bapak,intinya kerja cariin,inti kerja cariin
oke,0,oke,['oke'],['oke'],oke,oke,oke
"03:11 Semua nya memang mudah kalau hanya di bicarakan, yang ngasih bukti cuma ✅ 𝙱𝙾𝙻𝙰442 ✅",1,o3 11 semua nya memang mudah kalau hanya di bicarakan yang ngasih bukti cuma bola442,"['o3', '11', 'semua', 'nya', 'memang', 'mudah', 'kalau', 'hanya', 'di', 'bicarakan', 'yang', 'ngasih', 'bukti', 'cuma', 'bola442']","['o3', '11', 'semua', 'nya', 'memang', 'mudah', 'kalau', 'hanya', 'di', 'bicarakan', 'yang', 'ngasih', 'bukti', 'cuma', 'bola442']",o3 11 semua nya memang mudah kalau hanya di bicarakan yang ngasih bukti cuma bola442,o3 11 nya mudah bicarakan ngasih bukti bola442,o3 11 nya mudah bicara ngasih bukti bola442
09:28 Berbobot banget walau singkat! 𝗕𝗘𝗥𝗞𝗔𝗛𝟵𝟵,1,o9 28 berbobot banget walau singkat berkah99,"['o9', '28', 'berbobot', 'banget', 'walau', 'singkat', 'berkah99']","['o9', '28', 'berbobot', 'banget', 'walau', 'singkat', 'berkah99']",o9 28 berbobot banget walau singkat berkah99,o9 28 berbobot banget singkat berkah99,o9 28 bobot banget singkat berkah99
"menang pawpaw4d , gak membanggakan !",1,menang pawpaw4d gak membanggakan,"['menang', 'pawpaw4d', 'gak', 'membanggakan']","['menang', 'pawpaw4d', 'tidak', 'membanggakan']",menang pawpaw4d tidak membanggakan,menang pawpaw4d membanggakan,menang pawpaw4d bangga
24:23 wkaokwaokwoaow SEKAK,0,24 23 wkaokwaokwoaow sekak,"['24', '23', 'wkaokwaokwoaow', 'sekak']","['24', '23', 'wkaokwaokwoaow', 'sekak']",24 23 wkaokwaokwoaow sekak,24 23 wkaokwaokwoaow sekak,24 23 wkaokwaokwoaow sekak
melatih kesabaran ini namanya,0,melatih kesabaran ini namanya,"['melatih', 'kesabaran', 'ini', 'namanya']","['melatih', 'kesabaran', 'ini', 'namanya']",melatih kesabaran ini namanya,melatih kesabaran namanya,latih sabar nama
faedahe apa blog ?,0,faedahe apa blog,"['faedahe', 'apa', 'blog']","['faedahe', 'apa', 'blog']",faedahe apa blog,faedahe blog,faedahe blog
jgn nekat mas😂😂😂,0,jgn nekat mas,"['jgn', 'nekat', 'mas']","['jangan', 'nekat', 'mas']",jangan nekat mas,nekat mas,nekat mas
"𝔭𝔲𝔩𝔞𝔲𝟽𝟽𝟽 ? TERBAIKK, jepe terus bro!",1,pulau777 terbaikk jepe terus bro,"['pulau777', 'terbaikk', 'jepe', 'terus', 'bro']","['pulau777', 'terbaikk', 'jepe', 'terus', 'bro']",pulau777 terbaikk jepe terus bro,pulau777 terbaikk jepe bro,pulau777 terbaikk jepe bro
"hoki gak bohong , udah pakai pawpaw4d !",1,hoki gak bohong udah pakai pawpaw4d,"['hoki', 'gak', 'bohong', 'udah', 'pakai', 'pawpaw4d']","['hoki', 'tidak', 'bohong', 'sudah', 'pakai', 'pawpaw4d']",hoki tidak bohong sudah pakai pawpaw4d,hoki bohong pakai pawpaw4d,hoki bohong pakai pawpaw4d
"gacur banget , auto wede",1,gacur banget auto wede,"['gacur', 'banget', 'auto', 'wede']","['gacur', 'banget', 'auto', 'wede']",gacur banget auto wede,gacur banget auto wede,gacur banget auto wede
Request tanya jawab dengan wapress —>,0,request tanya jawab dengan wapress,"['request', 'tanya', 'jawab', 'dengan', 'wapress']","['request', 'tanya', 'jawab', 'dengan', 'wapress']",request tanya jawab dengan wapress,request wapress,request wapress
"Wkwkwkwk mobil paling mahal juara 3 , amandio dong",0,wkwkwkwk mobil paling mahal juara 3 amandio dong,"['wkwkwkwk', 'mobil', 'paling', 'mahal', 'juara', '3', 'amandio', 'dong']","['wkwkwkwk', 'mobil', 'paling', 'mahal', 'juara', '3', 'amandio', 'dong']",wkwkwkwk mobil paling mahal juara 3 amandio dong,wkwkwkwk mobil mahal juara 3 amandio,wkwkwkwk mobil mahal juara 3 amandio
Tadi aku habis nonton sekarang di hotel,0,tadi aku habis nonton sekarang di hotel,"['tadi', 'aku', 'habis', 'nonton', 'sekarang', 'di', 'hotel']","['tadi', 'aku', 'habis', 'nonton', 'sekarang', 'di', 'hotel']",tadi aku habis nonton sekarang di hotel,habis nonton hotel,habis nonton hotel
"Awalnya gue mikir itu aplikasi biasa, tapi kok semua orang ngomongin PULAUWIN?",1,awalnya gue mikir itu aplikasi biasa tapi kok semua orang ngomongin pulauwin,"['awalnya', 'gue', 'mikir', 'itu', 'aplikasi', 'biasa', 'tapi', 'kok', 'semua', 'orang', 'ngomongin', 'pulauwin']","['awalnya', 'saya', 'mikir', 'itu', 'aplikasi', 'biasa', 'tapi', 'kok', 'semua', 'orang', 'ngomongin', 'pulauwin']",awalnya saya mikir itu aplikasi biasa tapi kok semua orang ngomongin pulauwin,mikir aplikasi orang ngomongin pulauwin,mikir aplikasi orang ngomongin pulauwin
Aku orang indonesia SANGAT MALU PUNYA WAPRESSS NEGINI KULITASNYA.,0,aku orang indonesia sangat malu punya wapresss negini kulitasnya,"['aku', 'orang', 'indonesia', 'sangat', 'malu', 'punya', 'wapresss', 'negini', 'kulitasnya']","['aku', 'orang', 'indonesia', 'sangat', 'malu', 'punya', 'wapresss', 'negini', 'kulitasnya']",aku orang indonesia sangat malu punya wapresss negini kulitasnya,orang indonesia malu wapresss negini kulitasnya,orang indonesia malu wapresss negini kulitasnya
"Mantul banget P U L A U 7 7 7, jepe lagi nih.",1,mantul banget pulau 7 7 7 jepe lagi nih,"['mantul', 'banget', 'pulau', '7', '7', '7', 'jepe', 'lagi', 'nih']","['mantul', 'banget', 'pulau', '7', '7', '7', 'jepe', 'lagi', 'nih']",mantul banget pulau 7 7 7 jepe lagi nih,mantul banget pulau 7 7 7 jepe nih,mantul banget pulau 7 7 7 jepe nih
"Gan hasil wede cair pula bermain dis3rver  mandalika77  angan- angan member, gua kelepek saking cakapnya  mandalika77  nyarik cuan.",1,gan hasil wede cair pula bermain dis3rver mandalika77 angan angan member gua kelepek saking cakapnya mandalika77 nyarik cuan,"['gan', 'hasil', 'wede', 'cair', 'pula', 'bermain', 'dis3rver', 'mandalika77', 'angan', 'angan', 'member', 'gua', 'kelepek', 'saking', 'cakapnya', 'mandalika77', 'nyarik', 'cuan']","['gan', 'hasil', 'wede', 'cair', 'pula', 'bermain', 'dis3rver', 'mandalika77', 'angan', 'angan', 'member', 'gua', 'kelepek', 'saking', 'cakapnya', 'mandalika77', 'nyarik', 'cuan']",gan hasil wede cair pula bermain dis3rver mandalika77 angan angan member gua kelepek saking cakapnya mandalika77 nyarik cuan,gan hasil wede cair bermain dis3rver mandalika77 angan angan member gua kelepek saking cakapnya mandalika77 nyarik cuan,gan hasil wede cair main dis3rver mandalika77 angan angan member gua kelepek saking cakap mandalika77 nyarik cuan
"06:15 Dari rumah aja bisa jualan sukses, luar biasa banget! Kalau 𝗕𝗘𝗥𝗞𝗔𝗛𝟵𝟵, dari rumah bisa menang besar!",1,o6 15 dari rumah aja bisa jualan sukses luar biasa banget kalau berkah99 dari rumah bisa menang besar,"['o6', '15', 'dari', 'rumah', 'aja', 'bisa', 'jualan', 'sukses', 'luar', 'biasa', 'banget', 'kalau', 'berkah99', 'dari', 'rumah', 'bisa', 'menang', 'besar']","['o6', '15', 'dari', 'rumah', 'aja', 'bisa', 'jualan', 'sukses', 'luar', 'biasa', 'banget', 'kalau', 'berkah99', 'dari', 'rumah', 'bisa', 'menang', 'besar']",o6 15 dari rumah aja bisa jualan sukses luar biasa banget kalau berkah99 dari rumah bisa menang besar,o6 15 rumah aja jualan sukses banget berkah99 rumah menang,o6 15 rumah aja jual sukses banget berkah99 rumah menang
Ahahahah jokes bapak” sekali om 🤣,0,ahahahah jokes bapak sekali om,"['ahahahah', 'jokes', 'bapak', 'sekali', 'om']","['ahahahah', 'jokes', 'bapak', 'sekali', 'om']",ahahahah jokes bapak sekali om,ahahahah jokes om,ahahahah jokes om
"Makswin brusan di Gates, GG banget",1,makswin brusan di gates gg banget,"['makswin', 'brusan', 'di', 'gates', 'gg', 'banget']","['makswin', 'brusan', 'di', 'gates', 'gg', 'banget']",makswin brusan di gates gg banget,makswin brusan gates gg banget,makswin brusan gates gg banget
situs mantap 𝐏𝐋𝐔𝐓𝐎𝟖𝟖 gampang menangnya,1,situs mantap pluto88 gampang menangnya,"['situs', 'mantap', 'pluto88', 'gampang', 'menangnya']","['situs', 'mantap', 'pluto88', 'gampang', 'menangnya']",situs mantap pluto88 gampang menangnya,situs mantap pluto88 gampang menangnya,situs mantap pluto88 gampang menang
Hadiah berlipat ganda cuman di ⭐𝘼𝙇𝙀𝙓𝙄𝙎17 aja lee.,1,hadiah berlipat ganda cuman di alexis17 aja lee,"['hadiah', 'berlipat', 'ganda', 'cuman', 'di', 'alexis17', 'aja', 'lee']","['hadiah', 'berlipat', 'ganda', 'cuman', 'di', 'alexis17', 'aja', 'lee']",hadiah berlipat ganda cuman di alexis17 aja lee,hadiah berlipat ganda cuman alexis17 aja lee,hadiah lipat ganda cuman alexis17 aja lee
keren mandalika77,1,keren mandalika77,"['keren', 'mandalika77']","['keren', 'mandalika77']",keren mandalika77,keren mandalika77,keren mandalika77
Sering senyum sendiri gara-gara 🅟🅤🅛🅐🅤🅦🅘🅝.,1,sering senyum sendiri gara gara pulauwin,"['sering', 'senyum', 'sendiri', 'gara', 'gara', 'pulauwin']","['sering', 'senyum', 'sendiri', 'gara', 'gara', 'pulauwin']",sering senyum sendiri gara gara pulauwin,senyum gara gara pulauwin,senyum gara gara pulauwin
"Senang banget bisa dapet rezeki besar dari D𝘖𝐑𝘼𝟽7, hasilnya luar biasa!",1,senang banget bisa dapet rezeki besar dari dora77 hasilnya luar biasa,"['senang', 'banget', 'bisa', 'dapet', 'rezeki', 'besar', 'dari', 'dora77', 'hasilnya', 'luar', 'biasa']","['senang', 'banget', 'bisa', 'dapet', 'rezeki', 'besar', 'dari', 'dora77', 'hasilnya', 'luar', 'biasa']",senang banget bisa dapet rezeki besar dari dora77 hasilnya luar biasa,senang banget dapet rezeki dora77 hasilnya,senang banget dapet rezeki dora77 hasil
"alexis17 ! emang ga bikin kecewa , withdraw dibayar tapi-tapi",1,alexis17 emang ga bikin kecewa withdraw dibayar tapi tapi,"['alexis17', 'emang', 'ga', 'bikin', 'kecewa', 'withdraw', 'dibayar', 'tapi', 'tapi']","['alexis17', 'emang', 'tidak', 'bikin', 'kecewa', 'withdraw', 'dibayar', 'tapi', 'tapi']",alexis17 emang tidak bikin kecewa withdraw dibayar tapi tapi,alexis17 emang bikin kecewa withdraw dibayar,alexis17 emang bikin kecewa withdraw bayar
selamat ulang tahun Kota Yogyakarta ku ..,0,selamat ulang tahun kota yogyakarta ku,"['selamat', 'ulang', 'tahun', 'kota', 'yogyakarta', 'ku']","['selamat', 'ulang', 'tahun', 'kota', 'yogyakarta', 'ku']",selamat ulang tahun kota yogyakarta ku,selamat ulang kota yogyakarta ku,selamat ulang kota yogyakarta ku
Komenan emak2 pesbuk,0,komenan emak2 pesbuk,"['komenan', 'emak2', 'pesbuk']","['komenan', 'emak2', 'pesbuk']",komenan emak2 pesbuk,komenan emak2 pesbuk,komenan emak2 pesbuk
btw bapak nya siapa ?😢,0,btw bapak nya siapa,"['btw', 'bapak', 'nya', 'siapa']","['btw', 'bapak', 'nya', 'siapa']",btw bapak nya siapa,btw nya,btw nya
Rungkad = Nangis,0,rungkad nangis,"['rungkad', 'nangis']","['rungkad', 'nangis']",rungkad nangis,rungkad nangis,rungkad nang
"bermain teman-teman 𝗦𝗚𝗜𝟴𝟴 seru asyik , rezekinya !",1,bermain teman teman sgi88 seru asyik rezekinya,"['bermain', 'teman', 'teman', 'sgi88', 'seru', 'asyik', 'rezekinya']","['bermain', 'teman', 'teman', 'sgi88', 'seru', 'asyik', 'rezekinya']",bermain teman teman sgi88 seru asyik rezekinya,bermain teman teman sgi88 seru asyik rezekinya,main teman teman sgi88 seru asyik rezeki
Bang boleh tau merk sepatu yang abang pakek apa ya ?,0,bang boleh tau merk sepatu yang abang pakek apa ya,"['bang', 'boleh', 'tau', 'merk', 'sepatu', 'yang', 'abang', 'pakek', 'apa', 'ya']","['bang', 'boleh', 'tahu', 'merk', 'sepatu', 'yang', 'abang', 'pakek', 'apa', 'ya']",bang boleh tahu merk sepatu yang abang pakek apa ya,bang merk sepatu abang pakek ya,bang merk sepatu abang pakek ya
mantab Jogja 👌,0,mantab jogja,"['mantab', 'jogja']","['mantab', 'jogja']",mantab jogja,mantab jogja,mantab jogja
gak nyesel gabung alexis17 .,1,gak nyesel gabung alexis17,"['gak', 'nyesel', 'gabung', 'alexis17']","['tidak', 'nyesel', 'gabung', 'alexis17']",tidak nyesel gabung alexis17,nyesel gabung alexis17,nyesel gabung alexis17
"dapet freebet dari pulau777 20k eh naik jadi 1,6jt mantap",1,dapet freebet dari pulau777 2ok eh naik jadi 1 6jt mantap,"['dapet', 'freebet', 'dari', 'pulau777', '2ok', 'eh', 'naik', 'jadi', '1', '6jt', 'mantap']","['dapet', 'freebet', 'dari', 'pulau777', '2ok', 'eh', 'naik', 'jadi', '1', '6jt', 'mantap']",dapet freebet dari pulau777 2ok eh naik jadi 1 6jt mantap,dapet freebet pulau777 2ok eh 1 6jt mantap,dapet freebet pulau777 2ok eh 1 6jt mantap
